Date,0
2018-01-02,99511.81070051179
2018-01-03,99506.73438251864
2018-01-04,100858.06482780389
2018-01-05,101904.69280754951
2018-01-08,102617.73885513427
2018-01-09,102677.94874065426
2018-01-10,102410.8095489406
2018-01-11,102910.80207127452
2018-01-12,102647.86197534623
2018-01-15,102307.2800905317
2018-01-16,101523.74517776944
2018-01-17,102799.20872836
2018-01-18,102890.8489306224
2018-01-19,103640.39055258346
2018-01-22,104674.81681582169
2018-01-23,105594.24555816123
2018-01-24,105091.50543879718
2018-01-25,104571.29502374968
2018-01-29,104549.30306950296
2018-01-30,103948.11280239404
2018-01-31,103224.44565049904
2018-02-01,103146.50369215921
2018-02-02,100169.00053689642
2018-02-05,100050.09731396097
2018-02-06,99269.0079195605
2018-02-07,98466.41274010914
2018-02-08,100227.70502437335
2018-02-09,98681.7693873851
2018-02-12,99530.25557025544
2018-02-14,99982.24077931103
2018-02-15,100089.82902581927
2018-02-16,99327.11601726673
2018-02-19,98126.45394584829
2018-02-20,97927.80325573562
2018-02-21,97125.3070729425
2018-02-22,97575.62517119208
2018-02-23,99497.78585672512
2018-02-26,99880.43054562729
2018-02-27,99871.28902357149
2018-02-28,99305.76967486771
2018-03-01,99036.08287342747
2018-03-05,98129.25684399578
2018-03-06,96558.54245389426
2018-03-07,95255.9515778129
2018-03-08,95832.44622198417
2018-03-09,96069.0851766226
2018-03-12,98522.65454194527
2018-03-13,98960.2994601384
2018-03-14,98880.61426042419
2018-03-15,98485.68025362532
2018-03-16,96527.7945290192
2018-03-19,94910.48094850474
2018-03-20,95705.36516797368
2018-03-21,97102.84572471828
2018-03-22,97035.20903858387
2018-03-23,95871.90210412431
2018-03-26,97503.43003443387
2018-03-27,97645.98622430171
2018-03-28,96036.27624796772
2018-04-02,97703.38538181865
2018-04-03,98142.95924721213
2018-04-04,96875.52149980036
2018-04-05,98640.95989775912
2018-04-06,98446.93411603295
2018-04-09,98671.19232352957
2018-04-10,98863.64483294886
2018-04-11,99525.7438002024
2018-04-12,99629.57792414768
2018-04-13,99489.54084381145
2018-04-16,99826.42812191104
2018-04-17,99911.99856262875
2018-04-18,100158.99072946508
2018-04-19,101000.05526602955
2018-04-20,101107.6398649355
2018-04-23,101561.8188141005
2018-04-24,102295.27128829928
2018-04-25,102252.30158000768
2018-04-26,102178.26892577167
2018-04-27,103379.7948965478
2018-04-30,103805.60608624836
2018-05-02,104021.42765226724
2018-05-03,103459.99967155104
2018-05-04,101889.46665829002
2018-05-07,102961.34861137473
2018-05-08,102170.09947148983
2018-05-09,102309.9403172533
2018-05-10,102187.9797654793
2018-05-11,101580.67125952539
2018-05-14,101670.72131296764
2018-05-15,101592.35040268453
2018-05-16,101135.62561372125
2018-05-17,101576.75960908274
2018-05-18,100886.39365240617
2018-05-21,99574.99067786937
2018-05-22,100246.54134483007
2018-05-23,98789.46894208458
2018-05-24,100730.15103286367
2018-05-25,101752.31112384274
2018-05-28,103250.73429454809
2018-05-29,103160.96996822974
2018-05-30,102925.02742547457
2018-05-31,103501.30390390573
2018-06-01,103543.69403541142
2018-06-04,102498.63829305122
2018-06-05,101944.60068594353
2018-06-06,104187.21845683793
2018-06-07,104818.6329459665
2018-06-08,106011.31722306361
2018-06-11,107190.11388016479
2018-06-12,107610.49190559282
2018-06-13,107321.62122192155
2018-06-14,107680.17935666355
2018-06-15,108649.72758060349
2018-06-18,107692.6985088782
2018-06-19,106946.96115654099
2018-06-20,107545.47909118704
2018-06-21,106928.39402976091
2018-06-22,108703.9227556304
2018-06-25,108641.44660245374
2018-06-26,108585.9097100048
2018-06-27,107616.12867510735
2018-06-28,106955.94862233712
2018-06-29,108574.95192038715
2018-07-02,107415.3628822663
2018-07-03,108459.19553615018
2018-07-04,109059.91850427206
2018-07-05,107977.83085040806
2018-07-06,108100.46489817362
2018-07-09,109391.93246412108
2018-07-10,110416.40797669224
2018-07-11,110249.55126665097
2018-07-12,111696.5082836834
2018-07-13,112036.53681455571
2018-07-16,110366.54168775593
2018-07-17,110759.05056795341
2018-07-18,110570.2050076929
2018-07-19,111079.42566171658
2018-07-20,113875.48575529574
2018-07-23,115281.93970006963
2018-07-24,115791.33148326905
2018-07-25,115599.95566614067
2018-07-26,115474.0336435404
2018-07-27,117450.05243974616
2018-07-30,117779.49126813089
2018-07-31,119123.32729828537
2018-08-01,119158.08551940916
2018-08-02,117702.06600576581
2018-08-03,118502.39980356052
2018-08-06,118851.4525214281
2018-08-07,118947.51470335356
2018-08-08,120182.65437125586
2018-08-09,119342.92381527755
2018-08-10,118484.89464297902
2018-08-13,118507.86382186833
2018-08-14,120432.36329324658
2018-08-16,121057.02768794453
2018-08-17,121671.38036482043
2018-08-20,122892.79123994886
2018-08-21,123391.52025380354
2018-08-23,124467.425993264
2018-08-24,123829.6459143304
2018-08-27,125485.46062457886
2018-08-28,125777.54979264823
2018-08-29,125342.1917741468
2018-08-30,125985.82740342552
2018-08-31,126074.69024336115
2018-09-03,124654.91761772403
2018-09-04,124759.5684642849
2018-09-05,123907.61764370746
2018-09-06,124607.23480018399
2018-09-07,125959.29152323595
2018-09-10,123350.40933548573
2018-09-11,121349.75711052355
2018-09-12,123201.8196863132
2018-09-14,124588.99053101748
2018-09-17,122104.86146734754
2018-09-18,120874.37095311043
2018-09-19,119896.93292070806
2018-09-21,118703.35892289196
2018-09-24,116456.57807358525
2018-09-25,118054.75824403382
2018-09-26,118136.60908028121
2018-09-27,116808.56047092816
2018-09-28,115613.49006252091
2018-10-01,115573.15920932869
2018-10-03,113960.44996460529
2018-10-04,109917.52970362501
2018-10-05,106476.4522627514
2018-10-08,106266.32852258906
2018-10-09,106330.86139160782
2018-10-10,108607.46452890348
2018-10-11,105143.88619825608
2018-10-12,108187.86535504523
2018-10-15,109702.91985242529
2018-10-16,110219.78570724415
2018-10-17,108485.02605437711
2018-10-19,107619.88380581615
2018-10-22,106820.76618942458
2018-10-23,104790.63906611982
2018-10-24,108093.53739509
2018-10-25,106360.02202152552
2018-10-26,105742.70413418676
2018-10-29,108019.85699775194
2018-10-30,107115.12544465049
2018-10-31,108907.3746820743
2018-11-01,108647.71774901352
2018-11-02,110114.38024703905
2018-11-05,110217.70547043739
2018-11-06,110577.36492047147
2018-11-07,111399.94377266186
2018-11-09,110774.72403643267
2018-11-12,109158.32678944588
2018-11-13,109369.94243759802
2018-11-14,108250.29516698468
2018-11-15,108851.30519688119
2018-11-16,111629.41944070175
2018-11-19,113065.34967458063
2018-11-20,112207.69168954423
2018-11-21,111688.92752332616
2018-11-22,110694.9303404563
2018-11-26,111579.50805227846
2018-11-27,111921.31718223059
2018-11-28,111582.74325302824
2018-11-29,113319.77928295176
2018-11-30,113767.48815124358
2018-12-03,112184.34521980394
2018-12-04,111831.06791492354
2018-12-05,109441.46332003844
2018-12-06,107767.27634169541
2018-12-07,108652.12171902154
2018-12-10,105404.10361927857
2018-12-11,106466.46788261176
2018-12-12,109114.15307850692
2018-12-13,109396.67047688569
2018-12-14,110278.00383904585
2018-12-17,110469.18012585043
2018-12-18,111336.98844264995
2018-12-19,111662.69218906153
2018-12-20,111698.42078639196
2018-12-21,109238.41881187161
2018-12-24,108548.9634559266
2018-12-26,109337.06333902323
2018-12-27,109960.1632466658
2018-12-28,111296.40186846463
2018-12-31,111277.13736046896
2019-01-01,112314.33838166915
2019-01-02,111345.75478394478
2019-01-03,110267.18113279756
2019-01-04,110562.72717554496
2019-01-07,110806.96007552078
2019-01-08,111538.26540002598
2019-01-09,112509.26153104317
2019-01-10,112437.17682307503
2019-01-11,112350.4582088651
2019-01-14,112477.6524177268
2019-01-15,114723.3786211479
2019-01-16,114548.0913602414
2019-01-17,113231.33634522113
2019-01-18,110959.16651990442
2019-01-21,112705.91749473441
2019-01-22,113105.22011850416
2019-01-23,112209.39282180098
2019-01-24,112175.6216929682
2019-01-25,112029.60139133187
2019-01-28,110121.86260259296
